llm_model,metric,scenario,scenario_label,rank,mean_value,std_value,n_runs,significant_vs_next,p_value_vs_next,test_vs_next,excess_vs_chance,significant_vs_chance,p_value_vs_chance
hermes-4.3-36b-vf-lp,distance,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,1.274676,0.05518,10000,,,,0.123503,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,political_liberal_conservative,Political (Liberal/Conservative),1,0.415782,0.015239,10000,***,0.0,paired t,0.247883,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,income_high_low,Economic (High/Low Income),2,0.403002,0.017871,10000,***,0.0,paired t,0.235104,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,llm_baseline,Color (Red/Blue),3,0.395056,0.017268,10000,***,0.0,paired t,0.227158,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,green_yellow,Color (Green/Yellow),4,0.353032,0.020926,10000,***,0.0,paired t,0.185133,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,race_white_black,Racial (White/Black),5,0.250751,0.024424,10000,***,0.0,paired t,0.082853,***,0.0
hermes-4.3-36b-vf-lp,mix_deviation,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.180609,0.014184,10000,,,,0.012711,***,0.0
hermes-4.3-36b-vf-lp,share,political_liberal_conservative,Political (Liberal/Conservative),1,0.917659,0.016276,10000,***,0.0,paired t,0.419268,***,0.0
hermes-4.3-36b-vf-lp,share,income_high_low,Economic (High/Low Income),2,0.897957,0.019773,10000,***,0.0,paired t,0.399566,***,0.0
hermes-4.3-36b-vf-lp,share,llm_baseline,Color (Red/Blue),3,0.891983,0.018904,10000,***,0.0,paired t,0.393593,***,0.0
hermes-4.3-36b-vf-lp,share,green_yellow,Color (Green/Yellow),4,0.843086,0.023311,10000,***,0.0,paired t,0.344696,***,0.0
hermes-4.3-36b-vf-lp,share,race_white_black,Racial (White/Black),5,0.692126,0.033011,10000,***,0.0,paired t,0.193735,***,0.0
hermes-4.3-36b-vf-lp,share,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.552987,0.021351,10000,,,,0.054596,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,political_liberal_conservative,Political (Liberal/Conservative),1,225.2665,16.208397,10000,***,0.0,paired t,216.1243,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,income_high_low,Economic (High/Low Income),2,213.3735,18.936538,10000,***,0.0,paired t,204.2313,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,llm_baseline,Color (Red/Blue),3,205.9593,17.926181,10000,***,0.0,paired t,196.8171,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,green_yellow,Color (Green/Yellow),4,170.0398,19.982451,10000,***,0.0,paired t,160.8976,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,race_white_black,Racial (White/Black),5,84.0861,18.751316,10000,***,0.0,paired t,74.9439,***,0.0
hermes-4.3-36b-vf-lp,ghetto_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,28.7867,8.649687,10000,,,,19.6445,***,0.0
