llm_model,metric,scenario,scenario_label,rank,mean_value,std_value,n_runs,significant_vs_next,p_value_vs_next,test_vs_next,excess_vs_chance,significant_vs_chance,p_value_vs_chance
qwen3.6-27b-vf-lp,distance,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,1.256335,0.052597,10000,,,,0.105161,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,political_liberal_conservative,Political (Liberal/Conservative),1,0.345801,0.02164,10000,***,0.0,paired t,0.177903,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,income_high_low,Economic (High/Low Income),2,0.326439,0.023296,10000,***,0.0,paired t,0.158541,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,llm_baseline,Color (Red/Blue),3,0.324783,0.022823,10000,***,0.0,paired t,0.156885,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,green_yellow,Color (Green/Yellow),4,0.318856,0.023272,10000,***,0.0,paired t,0.150958,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,race_white_black,Racial (White/Black),5,0.282923,0.025173,10000,***,0.0,paired t,0.115025,***,0.0
qwen3.6-27b-vf-lp,mix_deviation,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.178436,0.013835,10000,,,,0.010537,***,0.0
qwen3.6-27b-vf-lp,share,political_liberal_conservative,Political (Liberal/Conservative),1,0.834688,0.024402,10000,***,0.0,paired t,0.336297,***,0.0
qwen3.6-27b-vf-lp,share,income_high_low,Economic (High/Low Income),2,0.806357,0.027517,10000,***,0.0,paired t,0.307966,***,0.0
qwen3.6-27b-vf-lp,share,llm_baseline,Color (Red/Blue),3,0.804515,0.026614,10000,***,0.0,paired t,0.306124,***,0.0
qwen3.6-27b-vf-lp,share,green_yellow,Color (Green/Yellow),4,0.798133,0.02725,10000,***,0.0,paired t,0.299742,***,0.0
qwen3.6-27b-vf-lp,share,race_white_black,Racial (White/Black),5,0.74439,0.032176,10000,***,0.0,paired t,0.245999,***,0.0
qwen3.6-27b-vf-lp,share,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.546308,0.021641,10000,,,,0.047917,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,political_liberal_conservative,Political (Liberal/Conservative),1,163.0221,20.326105,10000,***,0.0,paired t,153.8799,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,income_high_low,Economic (High/Low Income),2,144.6585,21.212031,10000,***,0.0,paired t,135.5163,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,llm_baseline,Color (Red/Blue),3,143.3094,20.798392,10000,***,0.0,paired t,134.1672,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,green_yellow,Color (Green/Yellow),4,139.6437,20.838449,10000,***,0.0,paired t,130.5015,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,race_white_black,Racial (White/Black),5,108.2628,20.951005,10000,***,0.0,paired t,99.1206,***,0.0
qwen3.6-27b-vf-lp,ghetto_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,25.7831,8.412189,10000,,,,16.6409,***,0.0
